model,dimension,family,shear_m_or_matched_budget,condition_bound,endpoint,estimate,bootstrap_mean,bootstrap_bias,bootstrap_standard_error,basic_ci_2.5_percent,basic_ci_97.5_percent,attaining_transform,attaining_condition,bootstrap_replicates,trace_renormalized_each_replicate
rebuilt classical 2000x2000,40,41x41 function-preserving rescaling grid,0,1.0,low,0.6781699318349974,0.6761641534466659,-0.0020057783883314917,0.005527935971985197,0.671610126174209,0.6916080492656188,log_s1=0;log_s2=0,1.0,2000,True
rebuilt classical 2000x2000,40,41x41 function-preserving rescaling grid,0,1.0,high,0.6781699318349974,0.6761641534466659,-0.0020057783883314917,0.005527935971985197,0.671610126174209,0.6916080492656188,log_s1=0;log_s2=0,1.0,2000,True
rebuilt classical 2000x2000,40,41x41 function-preserving rescaling grid,1,6.854101966249685,low,0.6298878842796932,0.6281975887703486,-0.0016902955093446304,0.0051322557964804776,0.6232826590076277,0.6424566378390816,log_s1=-0.329446229274;log_s2=-0.494169343911,5.192582403567189,2000,True
rebuilt classical 2000x2000,40,41x41 function-preserving rescaling grid,1,6.854101966249685,high,0.6851039966117705,0.6828759234544719,-0.00222807315729856,0.005891132737949895,0.6783610284586452,0.6996708771580521,log_s1=0.164723114637;log_s2=0.329446229274,2.6867672035397354,2000,True
rebuilt classical 2000x2000,40,41x41 function-preserving rescaling grid,2,33.970562748477114,low,0.5375257779162765,0.5361953398097394,-0.0013304381065371018,0.00468062480686198,0.5311741312915813,0.5490713583301827,log_s1=-0.658892458548;log_s2=-0.988338687823,26.962912017835567,2000,True
rebuilt classical 2000x2000,40,41x41 function-preserving rescaling grid,2,33.970562748477114,high,0.6851039966117705,0.6828759234544719,-0.00222807315729856,0.005891132737949895,0.6783610284586452,0.6996708771580521,log_s1=0.164723114637;log_s2=0.329446229274,2.6867672035397354,2000,True
rebuilt classical 2000x2000,40,41x41 function-preserving rescaling grid,3,118.99159604515543,low,0.43248313380640163,0.43167308286006223,-0.0008100509463394023,0.0037431495191686667,0.4270191732810447,0.4421796169928066,log_s1=-0.823615573186;log_s2=-1.48250803173,100.71021251634919,2000,True
rebuilt classical 2000x2000,40,41x41 function-preserving rescaling grid,3,118.99159604515543,high,0.6851039966117705,0.6828759234544719,-0.00222807315729856,0.005891132737949895,0.6783610284586452,0.6996708771580521,log_s1=0.164723114637;log_s2=0.329446229274,2.6867672035397354,2000,True
rebuilt classical 2000x2000,40,41x41 function-preserving rescaling grid,4,321.99689437999086,low,0.3654288204121623,0.3646370363912064,-0.0007917840209558658,0.0036317839944703485,0.35999092540173255,0.374317818679562,log_s1=-0.988338687823;log_s2=-1.81195426101,270.58489605044406,2000,True
rebuilt classical 2000x2000,40,41x41 function-preserving rescaling grid,4,321.99689437999086,high,0.6851039966117705,0.6828759234544719,-0.00222807315729856,0.005891132737949895,0.6783610284586452,0.6996708771580521,log_s1=0.164723114637;log_s2=0.329446229274,2.6867672035397354,2000,True
rebuilt classical 2000x2000,40,41x41 function-preserving rescaling grid,5,726.9986244815418,low,0.30674071135582803,0.30593649366762077,-0.0008042176882072649,0.003559476571189187,0.30135203586569825,0.3149876086118684,log_s1=-1.15306180246;log_s2=-2.14140049028,726.9986244815419,2000,True
rebuilt classical 2000x2000,40,41x41 function-preserving rescaling grid,5,726.9986244815418,high,0.6851039966117705,0.6828759234544719,-0.00222807315729856,0.005891132737949895,0.6783610284586452,0.6996708771580521,log_s1=0.164723114637;log_s2=0.329446229274,2.6867672035397354,2000,True
