model,dimension,family,shear_m_or_matched_budget,condition_bound,endpoint,estimate,bootstrap_mean,bootstrap_bias,bootstrap_standard_error,basic_ci_2.5_percent,basic_ci_97.5_percent,attaining_transform,attaining_condition,bootstrap_replicates,trace_renormalized_each_replicate
QNN,40,"50 paired matchings, both signs",0,1.0,low,0.8984248324316566,0.8981316553952429,-0.0002931770364137387,0.0020597183329746837,0.8949786782063035,0.9029102659097477,identity,1.0,2000,True
QNN,40,"50 paired matchings, both signs",0,1.0,high,0.8984248324316566,0.8981316553952429,-0.0002931770364137387,0.0020597183329746837,0.8949786782063035,0.9029102659097477,identity,1.0,2000,True
QNN,40,"50 paired matchings, both signs",1,6.854101966249685,low,0.8343741719927606,0.8340923097278384,-0.0002818622649222169,0.002055607657371893,0.8308424644182909,0.8388691214089329,pairing=12;m=+1,6.854101966249688,2000,True
QNN,40,"50 paired matchings, both signs",1,6.854101966249685,high,0.8984248324316566,0.8981316553952429,-0.0002931770364137387,0.0020597183329746837,0.8949786782063035,0.9029102659097477,identity,1.0,2000,True
QNN,40,"50 paired matchings, both signs",2,33.970562748477114,low,0.7375950748632921,0.7373628000160867,-0.00023227484720544922,0.0018853395428629852,0.734328896135294,0.741573153240044,pairing=12;m=+2,33.970562748477185,2000,True
QNN,40,"50 paired matchings, both signs",2,33.970562748477114,high,0.8984248324316566,0.8981316553952429,-0.0002931770364137387,0.0020597183329746837,0.8949786782063035,0.9029102659097477,identity,1.0,2000,True
QNN,40,"50 paired matchings, both signs",3,118.99159604515543,low,0.6620334960037735,0.6618788129371408,-0.00015468306663268816,0.0015391176995604033,0.659244450380899,0.6651875836957047,pairing=12;m=+3,118.9915960451559,2000,True
QNN,40,"50 paired matchings, both signs",3,118.99159604515543,high,0.8984248324316566,0.8981316553952429,-0.0002931770364137387,0.0020597183329746837,0.8949786782063035,0.9029102659097477,identity,1.0,2000,True
QNN,40,"50 paired matchings, both signs",4,321.99689437999086,low,0.6103985025651908,0.6103073430016327,-9.11595635580964e-05,0.001174974253256341,0.608265848317093,0.6127473614858399,pairing=12;m=+4,321.99689437999075,2000,True
QNN,40,"50 paired matchings, both signs",4,321.99689437999086,high,0.8984248324316566,0.8981316553952429,-0.0002931770364137387,0.0020597183329746837,0.8949786782063035,0.9029102659097477,identity,1.0,2000,True
QNN,40,"50 paired matchings, both signs",5,726.9986244815418,low,0.5769093526468192,0.5768542560601525,-5.509658666669193e-05,0.0009055577745664025,0.5752696064629607,0.5787471073407268,pairing=12;m=+5,726.9986244815769,2000,True
QNN,40,"50 paired matchings, both signs",5,726.9986244815418,high,0.8984248324316566,0.8981316553952429,-0.0002931770364137387,0.0020597183329746837,0.8949786782063035,0.9029102659097477,identity,1.0,2000,True
easy QNN,40,"50 paired matchings, both signs",0,1.0,low,0.7714541404650445,0.7712547841904811,-0.00019935627456335592,0.0015749666617436166,0.7687476116896014,0.774898441196416,identity,1.0,2000,True
easy QNN,40,"50 paired matchings, both signs",0,1.0,high,0.7714541404650445,0.7712547841904811,-0.00019935627456335592,0.0015749666617436166,0.7687476116896014,0.774898441196416,identity,1.0,2000,True
easy QNN,40,"50 paired matchings, both signs",1,6.854101966249685,low,0.7165596960335588,0.7163673642923776,-0.00019233174118127305,0.0016643191703902748,0.7137053258696413,0.7201505725957807,pairing=46;m=+1,6.854101966249688,2000,True
easy QNN,40,"50 paired matchings, both signs",1,6.854101966249685,high,0.7714541404650445,0.7712547841904811,-0.00019935627456335592,0.0015749666617436166,0.7687476116896014,0.774898441196416,identity,1.0,2000,True
easy QNN,40,"50 paired matchings, both signs",2,33.970562748477114,low,0.6378740114139522,0.6377738925415736,-0.00010011887237859618,0.0013112121051305087,0.6354950782229364,0.6406460774882082,pairing=43;m=+2,33.970562748477185,2000,True
easy QNN,40,"50 paired matchings, both signs",2,33.970562748477114,high,0.7714541404650445,0.7712547841904811,-0.00019935627456335592,0.0015749666617436166,0.7687476116896014,0.774898441196416,identity,1.0,2000,True
easy QNN,40,"50 paired matchings, both signs",3,118.99159604515543,low,0.5829135509611756,0.5828530313962176,-6.051956495800592e-05,0.0011240352292700099,0.5808686402300703,0.5851989598278178,pairing=43;m=+3,118.9915960451559,2000,True
easy QNN,40,"50 paired matchings, both signs",3,118.99159604515543,high,0.7714541404650445,0.7712547841904811,-0.00019935627456335592,0.0015749666617436166,0.7687476116896014,0.774898441196416,identity,1.0,2000,True
easy QNN,40,"50 paired matchings, both signs",4,321.99689437999086,low,0.5490556404900568,0.5490117008826824,-4.3939607374476886e-05,0.001006409429143454,0.5471927373831079,0.5511630845938633,pairing=43;m=+4,321.99689437999075,2000,True
easy QNN,40,"50 paired matchings, both signs",4,321.99689437999086,high,0.7714541404650445,0.7712547841904811,-0.00019935627456335592,0.0015749666617436166,0.7687476116896014,0.774898441196416,identity,1.0,2000,True
easy QNN,40,"50 paired matchings, both signs",5,726.9986244815418,low,0.5287993695288303,0.5287616544181369,-3.771511069339262e-05,0.0009350739918593939,0.5271152199569711,0.5307501929830467,pairing=43;m=+5,726.9986244815769,2000,True
easy QNN,40,"50 paired matchings, both signs",5,726.9986244815418,high,0.7714541404650445,0.7712547841904811,-0.00019935627456335592,0.0015749666617436166,0.7687476116896014,0.774898441196416,identity,1.0,2000,True
published classical archive,28,"50 paired matchings, both signs",0,1.0,low,0.579359734404762,0.5758367184680049,-0.003523015936757079,0.013516236366311383,0.559206238135451,0.6115227193978715,identity,1.0,2000,True
published classical archive,28,"50 paired matchings, both signs",0,1.0,high,0.579359734404762,0.5758367184680049,-0.003523015936757079,0.013516236366311383,0.559206238135451,0.6115227193978715,identity,1.0,2000,True
published classical archive,28,"50 paired matchings, both signs",1,6.854101966249685,low,0.5057759282604083,0.5024939288919638,-0.0032819993684445325,0.013687839958518725,0.48546531550898564,0.5386975336154844,pairing=0;m=+1,6.854101966249686,2000,True
published classical archive,28,"50 paired matchings, both signs",1,6.854101966249685,high,0.6147807176239468,0.6121199374460908,-0.0026607801778559814,0.013629707149755376,0.5929048923765304,0.645883734582534,pairing=0;m=-1,6.854101966249686,2000,True
published classical archive,28,"50 paired matchings, both signs",2,33.970562748477114,low,0.46050527006862546,0.45840533515151205,-0.0020999349171134107,0.012426705829044163,0.44079046070353406,0.48909239757793643,pairing=0;m=+2,33.970562748477114,2000,True
published classical archive,28,"50 paired matchings, both signs",2,33.970562748477114,high,0.6147807176239468,0.6121199374460908,-0.0026607801778559814,0.013629707149755376,0.5929048923765304,0.645883734582534,pairing=0;m=-1,6.854101966249686,2000,True
published classical archive,28,"50 paired matchings, both signs",3,118.99159604515543,low,0.4357911853759089,0.434549088724548,-0.00124209665136088,0.011497291676344102,0.4154917370642024,0.4599258315521346,pairing=14;m=+3,118.9915960451559,2000,True
published classical archive,28,"50 paired matchings, both signs",3,118.99159604515543,high,0.6147807176239468,0.6121199374460908,-0.0026607801778559814,0.013629707149755376,0.5929048923765304,0.645883734582534,pairing=0;m=-1,6.854101966249686,2000,True
published classical archive,28,"50 paired matchings, both signs",4,321.99689437999086,low,0.4120796408831047,0.4111845130386074,-0.000895127844497301,0.010789194178896122,0.3928578491219136,0.43506789815828484,pairing=14;m=+4,321.99689437999075,2000,True
published classical archive,28,"50 paired matchings, both signs",4,321.99689437999086,high,0.6147807176239468,0.6121199374460908,-0.0026607801778559814,0.013629707149755376,0.5929048923765304,0.645883734582534,pairing=0;m=-1,6.854101966249686,2000,True
published classical archive,28,"50 paired matchings, both signs",5,726.9986244815418,low,0.3985726340748822,0.39728223463508805,-0.0012903994397941432,0.010933000196196772,0.3796537931429839,0.4223410185092035,pairing=14;m=+5,726.9986244815769,2000,True
published classical archive,28,"50 paired matchings, both signs",5,726.9986244815418,high,0.6147807176239468,0.6121199374460908,-0.0026607801778559814,0.013629707149755376,0.5929048923765304,0.645883734582534,pairing=0;m=-1,6.854101966249686,2000,True
rebuilt classical 2000x2000,40,"50 paired matchings, both signs",0,1.0,low,0.6781699318349974,0.6761641534466659,-0.0020057783883314917,0.005527935971985197,0.671610126174209,0.6916080492656188,identity,1.0,2000,True
rebuilt classical 2000x2000,40,"50 paired matchings, both signs",0,1.0,high,0.6781699318349974,0.6761641534466659,-0.0020057783883314917,0.005527935971985197,0.671610126174209,0.6916080492656188,identity,1.0,2000,True
rebuilt classical 2000x2000,40,"50 paired matchings, both signs",1,6.854101966249685,low,0.6325871329685049,0.6301423818838929,-0.0024447510846119513,0.006151664709811446,0.6257502329424592,0.6468736055262697,pairing=0;m=+1,6.854101966249686,2000,True
rebuilt classical 2000x2000,40,"50 paired matchings, both signs",1,6.854101966249685,high,0.6781699318349974,0.6761641534466659,-0.0020057783883314917,0.005527935971985197,0.671610126174209,0.6916080492656188,identity,1.0,2000,True
rebuilt classical 2000x2000,40,"50 paired matchings, both signs",2,33.970562748477114,low,0.5783832525665764,0.5774932801367155,-0.0008899724298608858,0.00357675975260749,0.573148847924905,0.5866517015932299,pairing=14;m=+2,33.970562748477185,2000,True
rebuilt classical 2000x2000,40,"50 paired matchings, both signs",2,33.970562748477114,high,0.6781699318349974,0.6761641534466659,-0.0020057783883314917,0.005527935971985197,0.671610126174209,0.6916080492656188,identity,1.0,2000,True
rebuilt classical 2000x2000,40,"50 paired matchings, both signs",3,118.99159604515543,low,0.5353912645079182,0.5347896768007376,-0.0006015877071805509,0.002966954650833976,0.5309564829955983,0.5423880283984024,pairing=14;m=+3,118.9915960451559,2000,True
rebuilt classical 2000x2000,40,"50 paired matchings, both signs",3,118.99159604515543,high,0.6781699318349974,0.6761641534466659,-0.0020057783883314917,0.005527935971985197,0.671610126174209,0.6916080492656188,identity,1.0,2000,True
rebuilt classical 2000x2000,40,"50 paired matchings, both signs",4,321.99689437999086,low,0.5062652569228987,0.5059311859771279,-0.00033407094577075913,0.0023428539457264414,0.5024473630324487,0.5117256872218521,pairing=47;m=+4,321.99689437999075,2000,True
rebuilt classical 2000x2000,40,"50 paired matchings, both signs",4,321.99689437999086,high,0.6781699318349974,0.6761641534466659,-0.0020057783883314917,0.005527935971985197,0.671610126174209,0.6916080492656188,identity,1.0,2000,True
rebuilt classical 2000x2000,40,"50 paired matchings, both signs",5,726.9986244815418,low,0.48726210401211645,0.48691104114776906,-0.00035106286434738454,0.0024003553196626022,0.4833147902832587,0.4929819571726887,pairing=47;m=+5,726.9986244815769,2000,True
rebuilt classical 2000x2000,40,"50 paired matchings, both signs",5,726.9986244815418,high,0.6781699318349974,0.6761641534466659,-0.0020057783883314917,0.005527935971985197,0.671610126174209,0.6916080492656188,identity,1.0,2000,True
