d,n,gamma,kappa,integer_shear_m,effective_dimension,normalized_effective_dimension
40,100000,1.0,1382.4022710487243,0,40.003999773908696,1.0000999943477173
40,100000,1.0,1382.4022710487243,1,39.86761991900382,0.9966904979750956
40,100000,1.0,1382.4022710487243,2,39.477649496601195,0.9869412374150299
40,100000,1.0,1382.4022710487243,5,37.32500654543425,0.9331251636358562
40,100000,1.0,1382.4022710487243,10,33.11565098949578,0.8278912747373944
40,100000,1.0,1382.4022710487243,20,26.97658714321989,0.6744146785804973
40,100000,1.0,1382.4022710487243,50,17.932617649591272,0.4483154412397818
40,100000,1.0,1382.4022710487243,100,11.351602263220672,0.2837900565805168
40,100000,1.0,1382.4022710487243,1000,1.792910268036409,0.044822756700910224
40,100000,1.0,1382.4022710487243,1000000,1.510109912217243,0.03775274780543107
